",0"
"0,partly-cloudy-day"
"1,NA"
"2,clear-day"
"3,partly-cloudy-night"
"4,cloudy"
"5,partly-cloudy-night"
"6,partly-cloudy-night"
"7,partly-cloudy-day"
"8,partly-cloudy-day"
"9,NA"
"10,NA"
"11,NA"
"12,partly-cloudy-day"
"13,NA"
"14,NA"
"15,partly-cloudy-day"
"16,partly-cloudy-day"
"17,partly-cloudy-day"
"18,partly-cloudy-night"
"19,cloudy"
"20,partly-cloudy-night"
"21,clear-day"
"22,NA"
"23,rain"
"24,partly-cloudy-night"
"25,NA"
"26,partly-cloudy-day"
"27,NA"
"28,partly-cloudy-night"
"29,partly-cloudy-day"
"30,NA"
"31,NA"
"32,NA"
"33,NA"
"34,partly-cloudy-night"
"35,partly-cloudy-night"
"36,NA"
"37,partly-cloudy-night"
"38,partly-cloudy-day"
"39,NA"
"40,NA"
"41,partly-cloudy-day"
"42,partly-cloudy-night"
"43,partly-cloudy-day"
"44,NA"
"45,NA"
"46,partly-cloudy-day"
"47,partly-cloudy-day"
"48,NA"
"49,partly-cloudy-day"
"50,NA"
"51,partly-cloudy-day"
"52,fog"
"53,partly-cloudy-night"
"54,partly-cloudy-day"
"55,partly-cloudy-day"
"56,NA"
"57,partly-cloudy-night"
"58,NA"
"59,NA"
"60,partly-cloudy-day"
"61,partly-cloudy-day"
"62,NA"
"63,NA"
"64,partly-cloudy-night"
"65,NA"
"66,partly-cloudy-day"
"67,NA"
"68,NA"
"69,partly-cloudy-day"
"70,NA"
"71,NA"
"72,NA"
"73,partly-cloudy-day"
"74,NA"
"75,partly-cloudy-day"
"76,partly-cloudy-day"
"77,partly-cloudy-night"
"78,partly-cloudy-night"
"79,partly-cloudy-day"
"80,NA"
"81,partly-cloudy-night"
"82,partly-cloudy-night"
"83,partly-cloudy-night"
"84,NA"
"85,partly-cloudy-night"
"86,cloudy"
"87,NA"
"88,clear-day"
"89,NA"
"90,NA"
"91,NA"
"92,partly-cloudy-day"
"93,cloudy"
"94,partly-cloudy-night"
"95,NA"
"96,partly-cloudy-day"
"97,partly-cloudy-day"
"98,NA"
"99,partly-cloudy-day"
"100,partly-cloudy-night"
"101,partly-cloudy-night"
"102,partly-cloudy-day"
"103,NA"
"104,partly-cloudy-night"
"105,partly-cloudy-day"
"106,partly-cloudy-day"
"107,NA"
"108,NA"
"109,partly-cloudy-night"
"110,NA"
"111,partly-cloudy-night"
"112,partly-cloudy-night"
"113,NA"
"114,partly-cloudy-day"
"115,partly-cloudy-day"
"116,NA"
"117,NA"
"118,NA"
"119,NA"
"120,partly-cloudy-day"
"121,NA"
"122,NA"
"123,partly-cloudy-day"
"124,partly-cloudy-night"
"125,partly-cloudy-day"
"126,partly-cloudy-day"
"127,partly-cloudy-day"
"128,partly-cloudy-night"
"129,partly-cloudy-night"
"130,partly-cloudy-night"
"131,partly-cloudy-day"
"132,clear-night"
"133,fog"
"134,NA"
"135,fog"
"136,fog"
"137,partly-cloudy-day"
"138,partly-cloudy-night"
"139,partly-cloudy-night"
"140,NA"
"141,NA"
"142,partly-cloudy-day"
"143,NA"
"144,partly-cloudy-day"
"145,partly-cloudy-day"
"146,NA"
"147,NA"
"148,partly-cloudy-night"
"149,NA"
"150,NA"
"151,NA"
"152,partly-cloudy-day"
"153,NA"
"154,partly-cloudy-night"
"155,NA"
"156,NA"
"157,NA"
"158,partly-cloudy-night"
"159,partly-cloudy-day"
"160,NA"
"161,NA"
"162,NA"
"163,partly-cloudy-day"
"164,partly-cloudy-night"
"165,NA"
"166,NA"
"167,NA"
"168,partly-cloudy-day"
"169,NA"
"170,NA"
"171,partly-cloudy-night"
"172,NA"
"173,partly-cloudy-night"
"174,partly-cloudy-day"
"175,NA"
"176,NA"
"177,partly-cloudy-night"
"178,partly-cloudy-day"
"179,partly-cloudy-night"
"180,fog"
"181,partly-cloudy-day"
"182,NA"
"183,NA"
"184,partly-cloudy-day"
"185,NA"
"186,NA"
"187,NA"
"188,NA"
"189,partly-cloudy-night"
"190,partly-cloudy-night"
"191,NA"
"192,partly-cloudy-night"
"193,NA"
"194,partly-cloudy-night"
"195,NA"
"196,partly-cloudy-night"
"197,NA"
"198,partly-cloudy-day"
"199,partly-cloudy-day"
"200,partly-cloudy-day"
"201,NA"
"202,NA"
"203,NA"
"204,partly-cloudy-day"
"205,partly-cloudy-day"
"206,partly-cloudy-day"
"207,fog"
"208,NA"
"209,partly-cloudy-day"
"210,NA"
"211,NA"
"212,partly-cloudy-night"
"213,NA"
"214,partly-cloudy-night"
"215,partly-cloudy-day"
"216,NA"
"217,NA"
"218,NA"
"219,partly-cloudy-day"
"220,NA"
"221,partly-cloudy-night"
"222,NA"
"223,partly-cloudy-night"
"224,NA"
"225,partly-cloudy-day"
"226,partly-cloudy-night"
"227,NA"
"228,NA"
"229,NA"
"230,NA"
"231,NA"
"232,NA"
"233,clear-day"
"234,partly-cloudy-night"
"235,NA"
"236,partly-cloudy-day"
"237,partly-cloudy-night"
"238,NA"
"239,NA"
"240,partly-cloudy-day"
"241,NA"
"242,partly-cloudy-day"
"243,partly-cloudy-night"
"244,NA"
"245,partly-cloudy-night"
"246,NA"
"247,partly-cloudy-night"
"248,partly-cloudy-day"
"249,cloudy"
"250,clear-night"
"251,partly-cloudy-day"
"252,NA"
"253,partly-cloudy-day"
"254,partly-cloudy-night"
"255,partly-cloudy-night"
"256,partly-cloudy-day"
"257,NA"
"258,partly-cloudy-day"
"259,partly-cloudy-night"
"260,clear-night"
"261,partly-cloudy-night"
"262,NA"
"263,NA"
"264,partly-cloudy-day"
"265,NA"
"266,partly-cloudy-night"
"267,NA"
"268,NA"
"269,partly-cloudy-night"
"270,rain"
"271,NA"
"272,NA"
"273,NA"
"274,NA"
"275,NA"
"276,NA"
"277,NA"
"278,partly-cloudy-night"
"279,clear-day"
"280,NA"
"281,NA"
"282,NA"
"283,partly-cloudy-night"
"284,partly-cloudy-night"
"285,partly-cloudy-night"
"286,NA"
"287,partly-cloudy-day"
"288,partly-cloudy-night"
"289,clear-night"
"290,NA"
"291,partly-cloudy-night"
"292,partly-cloudy-night"
"293,partly-cloudy-day"
"294,partly-cloudy-night"
"295,NA"
"296,NA"
"297,NA"
"298,partly-cloudy-day"
"299,NA"
"300,NA"
"301,NA"
"302,NA"
"303,partly-cloudy-night"
"304,partly-cloudy-day"
"305,partly-cloudy-day"
"306,NA"
"307,partly-cloudy-night"
"308,NA"
"309,NA"
"310,partly-cloudy-day"
"311,NA"
"312,NA"
"313,clear-day"
"314,NA"
"315,partly-cloudy-day"
"316,partly-cloudy-night"
"317,NA"
"318,NA"
"319,partly-cloudy-night"
"320,NA"
"321,partly-cloudy-night"
"322,partly-cloudy-night"
"323,NA"
"324,NA"
"325,clear-day"
"326,NA"
"327,partly-cloudy-night"
"328,partly-cloudy-day"
"329,partly-cloudy-night"
"330,rain"
"331,partly-cloudy-day"
"332,partly-cloudy-night"
"333,NA"
"334,NA"
"335,partly-cloudy-day"
"336,NA"
"337,partly-cloudy-night"
"338,partly-cloudy-day"
"339,partly-cloudy-night"
"340,NA"
"341,partly-cloudy-day"
"342,partly-cloudy-day"
"343,partly-cloudy-night"
"344,NA"
"345,NA"
"346,partly-cloudy-night"
"347,partly-cloudy-day"
"348,partly-cloudy-night"
"349,partly-cloudy-night"
"350,partly-cloudy-day"
"351,partly-cloudy-night"
"352,NA"
"353,fog"
"354,partly-cloudy-night"
"355,partly-cloudy-night"
"356,partly-cloudy-day"
"357,partly-cloudy-day"
"358,partly-cloudy-day"
"359,partly-cloudy-night"
"360,NA"
"361,partly-cloudy-night"
"362,NA"
"363,partly-cloudy-day"
"364,NA"
"365,partly-cloudy-night"
"366,partly-cloudy-day"
"367,NA"
"368,NA"
"369,NA"
"370,partly-cloudy-day"
"371,partly-cloudy-day"
"372,partly-cloudy-day"
"373,partly-cloudy-night"
"374,partly-cloudy-day"
"375,NA"
"376,NA"
"377,NA"
"378,NA"
"379,NA"
"380,partly-cloudy-night"
"381,partly-cloudy-night"
"382,partly-cloudy-day"
"383,partly-cloudy-day"
"384,NA"
"385,partly-cloudy-day"
"386,NA"
"387,partly-cloudy-day"
"388,partly-cloudy-day"
"389,fog"
"390,partly-cloudy-day"
"391,NA"
"392,NA"
"393,partly-cloudy-day"
"394,partly-cloudy-day"
"395,cloudy"
"396,partly-cloudy-day"
"397,partly-cloudy-night"
"398,partly-cloudy-day"
"399,partly-cloudy-day"
"400,partly-cloudy-day"
"401,NA"
"402,NA"
"403,NA"
"404,NA"
"405,NA"
"406,partly-cloudy-night"
"407,NA"
"408,NA"
"409,NA"
"410,NA"
"411,partly-cloudy-day"
"412,NA"
"413,rain"
"414,NA"
"415,clear-day"
"416,partly-cloudy-day"
"417,partly-cloudy-day"
"418,partly-cloudy-night"
"419,NA"
"420,NA"
"421,partly-cloudy-night"
"422,NA"
"423,partly-cloudy-day"
"424,NA"
"425,clear-day"
"426,NA"
"427,partly-cloudy-night"
"428,NA"
"429,NA"
"430,partly-cloudy-night"
"431,NA"
"432,partly-cloudy-day"
"433,NA"
"434,NA"
"435,NA"
"436,partly-cloudy-day"
"437,partly-cloudy-day"
"438,NA"
"439,partly-cloudy-night"
"440,partly-cloudy-night"
"441,NA"
"442,NA"
"443,partly-cloudy-day"
"444,partly-cloudy-night"
"445,partly-cloudy-day"
"446,NA"
"447,NA"
"448,partly-cloudy-day"
"449,partly-cloudy-night"
"450,partly-cloudy-night"
"451,NA"
"452,partly-cloudy-night"
"453,partly-cloudy-day"
"454,NA"
"455,NA"
"456,NA"
"457,partly-cloudy-night"
"458,NA"
"459,partly-cloudy-day"
"460,partly-cloudy-day"
"461,partly-cloudy-night"
"462,partly-cloudy-day"
"463,partly-cloudy-night"
"464,partly-cloudy-night"
"465,NA"
"466,NA"
"467,partly-cloudy-day"
"468,cloudy"
"469,partly-cloudy-day"
"470,NA"
"471,partly-cloudy-day"
"472,cloudy"
"473,NA"
"474,partly-cloudy-day"
"475,NA"
"476,partly-cloudy-night"
"477,NA"
"478,partly-cloudy-day"
"479,clear-night"
"480,NA"
"481,NA"
"482,partly-cloudy-day"
"483,NA"
"484,partly-cloudy-night"
"485,partly-cloudy-night"
"486,NA"
"487,partly-cloudy-day"
"488,partly-cloudy-night"
"489,partly-cloudy-day"
"490,partly-cloudy-night"
"491,partly-cloudy-night"
"492,partly-cloudy-day"
"493,partly-cloudy-day"
"494,partly-cloudy-night"
"495,partly-cloudy-day"
"496,NA"
"497,clear-night"
"498,partly-cloudy-day"
"499,NA"
"500,NA"
"501,NA"
"502,NA"
"503,NA"
"504,rain"
"505,NA"
"506,NA"
"507,partly-cloudy-night"
"508,partly-cloudy-night"
"509,partly-cloudy-night"
"510,partly-cloudy-day"
"511,NA"
"512,cloudy"
"513,partly-cloudy-day"
"514,NA"
"515,NA"
"516,partly-cloudy-day"
"517,partly-cloudy-day"
"518,partly-cloudy-day"
"519,partly-cloudy-night"
"520,partly-cloudy-night"
"521,partly-cloudy-day"
"522,partly-cloudy-day"
"523,partly-cloudy-day"
"524,clear-night"
"525,NA"
"526,NA"
"527,partly-cloudy-day"
"528,NA"
"529,NA"
"530,partly-cloudy-night"
"531,partly-cloudy-day"
"532,NA"
"533,partly-cloudy-night"
"534,partly-cloudy-night"
"535,partly-cloudy-night"
"536,NA"
"537,partly-cloudy-day"
"538,NA"
"539,cloudy"
"540,NA"
"541,partly-cloudy-day"
"542,NA"
"543,partly-cloudy-night"
"544,NA"
"545,fog"
"546,NA"
"547,NA"
"548,partly-cloudy-night"
"549,NA"
"550,partly-cloudy-day"
"551,partly-cloudy-night"
"552,NA"
"553,partly-cloudy-day"
"554,partly-cloudy-day"
"555,NA"
"556,partly-cloudy-day"
"557,NA"
"558,NA"
"559,partly-cloudy-day"
"560,partly-cloudy-night"
"561,partly-cloudy-night"
"562,partly-cloudy-day"
"563,NA"
"564,partly-cloudy-day"
"565,partly-cloudy-night"
"566,NA"
"567,NA"
"568,partly-cloudy-day"
"569,NA"
"570,NA"
"571,NA"
"572,cloudy"
"573,NA"
"574,partly-cloudy-day"
"575,rain"
"576,partly-cloudy-day"
"577,NA"
"578,partly-cloudy-night"
"579,partly-cloudy-night"
"580,NA"
"581,NA"
"582,partly-cloudy-day"
"583,partly-cloudy-night"
"584,cloudy"
"585,partly-cloudy-day"
"586,NA"
"587,partly-cloudy-night"
"588,clear-night"
"589,partly-cloudy-day"
"590,NA"
"591,partly-cloudy-day"
"592,partly-cloudy-day"
"593,fog"
"594,partly-cloudy-day"
"595,NA"
"596,partly-cloudy-night"
"597,clear-night"
"598,NA"
"599,partly-cloudy-night"
"600,partly-cloudy-day"
"601,partly-cloudy-night"
"602,NA"
"603,NA"
"604,NA"
"605,NA"
"606,partly-cloudy-night"
"607,partly-cloudy-day"
"608,NA"
"609,partly-cloudy-day"
"610,partly-cloudy-day"
"611,NA"
"612,clear-day"
"613,clear-day"
"614,clear-day"
"615,clear-day"
"616,clear-day"
"617,clear-day"
"618,partly-cloudy-day"
"619,partly-cloudy-day"
"620,partly-cloudy-day"
"621,NA"
"622,NA"
"623,NA"
"624,NA"
"625,NA"
"626,NA"
"627,NA"
"628,NA"
"629,NA"
"630,NA"
"631,partly-cloudy-day"
"632,partly-cloudy-day"
"633,partly-cloudy-day"
"634,partly-cloudy-day"
"635,partly-cloudy-day"
"636,partly-cloudy-day"
"637,partly-cloudy-day"
"638,partly-cloudy-day"
"639,partly-cloudy-day"
"640,partly-cloudy-day"
"641,partly-cloudy-day"
"642,partly-cloudy-day"
"643,partly-cloudy-day"
"644,partly-cloudy-day"
"645,partly-cloudy-day"
"646,partly-cloudy-day"
"647,partly-cloudy-day"
"648,partly-cloudy-day"
"649,partly-cloudy-day"
"650,NA"
"651,partly-cloudy-day"
"652,partly-cloudy-day"
"653,partly-cloudy-day"
"654,partly-cloudy-day"
"655,partly-cloudy-day"
"656,partly-cloudy-day"
"657,partly-cloudy-day"
"658,partly-cloudy-day"
"659,partly-cloudy-day"
"660,partly-cloudy-day"
"661,NA"
"662,NA"
"663,NA"
"664,NA"
"665,NA"
"666,NA"
"667,NA"
"668,NA"
"669,NA"
"670,NA"
"671,NA"
"672,NA"
"673,NA"
"674,NA"
"675,NA"
"676,NA"
"677,NA"
"678,NA"
"679,NA"
"680,NA"
"681,NA"
"682,NA"
"683,NA"
"684,NA"
"685,NA"
"686,NA"
"687,NA"
"688,NA"
"689,NA"
"690,NA"
"691,NA"
"692,NA"
"693,NA"
"694,NA"
"695,NA"
"696,NA"
"697,NA"
"698,NA"
"699,NA"
"700,NA"
"701,NA"
"702,NA"
"703,NA"
"704,NA"
"705,NA"
"706,NA"
"707,NA"
"708,NA"
"709,partly-cloudy-night"
"710,partly-cloudy-night"
"711,NA"
"712,NA"
"713,NA"
"714,NA"
"715,NA"
"716,NA"
"717,NA"
"718,NA"
"719,NA"
"720,NA"
"721,NA"
"722,NA"
"723,NA"
"724,NA"
"725,NA"
"726,NA"
"727,NA"
"728,NA"
"729,NA"
"730,NA"
"731,partly-cloudy-night"
"732,partly-cloudy-night"
"733,partly-cloudy-night"
"734,partly-cloudy-night"
"735,partly-cloudy-night"
"736,partly-cloudy-night"
"737,partly-cloudy-night"
"738,partly-cloudy-night"
"739,partly-cloudy-night"
"740,partly-cloudy-night"
"741,partly-cloudy-night"
"742,partly-cloudy-night"
"743,partly-cloudy-night"
"744,partly-cloudy-night"
"745,partly-cloudy-night"
"746,partly-cloudy-night"
"747,partly-cloudy-night"
"748,partly-cloudy-night"
"749,partly-cloudy-night"
"750,clear-night"
"751,NA"
"752,NA"
"753,NA"
"754,NA"
"755,NA"
"756,NA"
"757,NA"
"758,NA"
"759,NA"
"760,partly-cloudy-night"
"761,partly-cloudy-night"
"762,partly-cloudy-night"
"763,partly-cloudy-night"
"764,partly-cloudy-night"
"765,partly-cloudy-night"
"766,partly-cloudy-night"
"767,partly-cloudy-night"
"768,partly-cloudy-night"
"769,partly-cloudy-night"
"770,partly-cloudy-night"
"771,partly-cloudy-night"
"772,partly-cloudy-night"
"773,partly-cloudy-night"
"774,partly-cloudy-night"
"775,partly-cloudy-night"
"776,partly-cloudy-night"
"777,partly-cloudy-night"
"778,partly-cloudy-night"
"779,partly-cloudy-night"
"780,partly-cloudy-night"
"781,partly-cloudy-night"
"782,partly-cloudy-night"
"783,partly-cloudy-night"
"784,partly-cloudy-night"
"785,partly-cloudy-night"
"786,partly-cloudy-night"
"787,partly-cloudy-night"
"788,partly-cloudy-night"
"789,partly-cloudy-night"
"790,partly-cloudy-night"
"791,partly-cloudy-night"
"792,NA"
"793,NA"
"794,NA"
"795,NA"
"796,NA"
"797,NA"
"798,NA"
"799,partly-cloudy-night"
"800,partly-cloudy-night"
"801,rain"
"802,rain"
"803,rain"
"804,rain"
"805,rain"
"806,partly-cloudy-night"
"807,partly-cloudy-night"
"808,partly-cloudy-night"
"809,partly-cloudy-night"
"810,partly-cloudy-night"
"811,partly-cloudy-night"
"812,partly-cloudy-night"
"813,partly-cloudy-night"
"814,partly-cloudy-night"
"815,partly-cloudy-night"
"816,partly-cloudy-night"
"817,partly-cloudy-night"
"818,partly-cloudy-night"
"819,partly-cloudy-night"
"820,partly-cloudy-night"
"821,partly-cloudy-night"
"822,partly-cloudy-night"
"823,partly-cloudy-night"
"824,partly-cloudy-night"
"825,partly-cloudy-night"
"826,partly-cloudy-night"
"827,partly-cloudy-night"
"828,partly-cloudy-night"
"829,partly-cloudy-night"
"830,rain"
"831,rain"
"832,NA"
"833,NA"
"834,NA"
"835,NA"
"836,NA"
"837,NA"
"838,NA"
"839,NA"
"840,NA"
"841,NA"
"842,partly-cloudy-night"
"843,partly-cloudy-night"
"844,partly-cloudy-night"
"845,partly-cloudy-night"
"846,partly-cloudy-night"
"847,partly-cloudy-night"
"848,partly-cloudy-night"
"849,partly-cloudy-night"
"850,partly-cloudy-night"
"851,NA"
"852,NA"
"853,NA"
"854,NA"
"855,NA"
"856,NA"
"857,NA"
"858,NA"
"859,NA"
"860,partly-cloudy-night"
"861,partly-cloudy-night"
"862,partly-cloudy-night"
"863,partly-cloudy-night"
"864,partly-cloudy-night"
"865,partly-cloudy-night"
"866,partly-cloudy-night"
"867,partly-cloudy-night"
"868,NA"
"869,NA"
"870,NA"
"871,NA"
"872,NA"
"873,NA"
"874,NA"
"875,NA"
"876,NA"
"877,NA"
"878,NA"
"879,NA"
"880,NA"
"881,partly-cloudy-night"
"882,partly-cloudy-night"
"883,partly-cloudy-night"
"884,partly-cloudy-night"
"885,partly-cloudy-night"
"886,partly-cloudy-night"
"887,partly-cloudy-night"
"888,partly-cloudy-night"
"889,partly-cloudy-night"
"890,partly-cloudy-night"
"891,partly-cloudy-night"
"892,NA"
"893,NA"
"894,partly-cloudy-night"
"895,partly-cloudy-night"
"896,partly-cloudy-night"
"897,partly-cloudy-night"
"898,partly-cloudy-night"
"899,partly-cloudy-night"
"900,partly-cloudy-night"
"901,NA"
"902,NA"
"903,NA"
"904,NA"
"905,NA"
"906,NA"
"907,NA"
"908,NA"
"909,NA"
"910,NA"
"911,partly-cloudy-day"
"912,partly-cloudy-day"
"913,partly-cloudy-day"
"914,partly-cloudy-day"
"915,partly-cloudy-day"
"916,partly-cloudy-day"
"917,partly-cloudy-day"
"918,partly-cloudy-day"
"919,partly-cloudy-day"
"920,partly-cloudy-day"
"921,partly-cloudy-day"
"922,partly-cloudy-day"
"923,partly-cloudy-day"
"924,partly-cloudy-day"
"925,partly-cloudy-day"
"926,partly-cloudy-day"
"927,partly-cloudy-day"
"928,partly-cloudy-day"
"929,NA"
"930,NA"
"931,partly-cloudy-day"
"932,partly-cloudy-day"
"933,partly-cloudy-day"
"934,partly-cloudy-day"
"935,partly-cloudy-day"
"936,NA"
"937,partly-cloudy-day"
"938,partly-cloudy-day"
"939,partly-cloudy-day"
"940,partly-cloudy-day"
"941,NA"
"942,NA"
"943,NA"
"944,NA"
"945,partly-cloudy-day"
"946,NA"
"947,partly-cloudy-day"
"948,partly-cloudy-day"
"949,partly-cloudy-day"
"950,partly-cloudy-day"
"951,partly-cloudy-day"
"952,partly-cloudy-day"
"953,partly-cloudy-day"
"954,partly-cloudy-day"
"955,partly-cloudy-day"
"956,partly-cloudy-day"
"957,cloudy"
"958,NA"
"959,NA"
"960,NA"
"961,NA"
"962,NA"
"963,NA"
"964,NA"
"965,NA"
"966,NA"
"967,NA"
"968,partly-cloudy-day"
"969,partly-cloudy-day"
"970,NA"
"971,NA"
"972,partly-cloudy-day"
"973,partly-cloudy-day"
"974,partly-cloudy-day"
"975,partly-cloudy-day"
"976,partly-cloudy-day"
"977,partly-cloudy-day"
"978,partly-cloudy-day"
"979,partly-cloudy-day"
"980,partly-cloudy-day"
"981,partly-cloudy-day"
"982,partly-cloudy-day"
"983,partly-cloudy-day"
"984,partly-cloudy-day"
"985,partly-cloudy-day"
"986,partly-cloudy-day"
"987,partly-cloudy-day"
"988,partly-cloudy-day"
"989,partly-cloudy-day"
"990,partly-cloudy-day"
"991,partly-cloudy-day"
